question_id,question_string,content_pack_id_fk
1,"Ich hab noch nie Sex in einem fremden Auto gehabt",1
2,"Ich hab noch nie S/M Spielchen ausprobiert",1
3,"Ich hab noch nie Sex mit mehr als 5 Leuten gehabt",1
4,"Ich hab noch nie Sex mit dem/der Ex gehabt",1
5,"Ich hab noch nie an Sex mit einem der Mitspieler gedacht",1
6,"Ich hab noch nie Sex während der Autofahrt gehabt",1
7,"Ich hab noch nie Sex im Bett eines/r Freundes/in gehabt",1
8,"Ich hab noch nie Sex im freien gehabt",1
9,"Ich hab noch nie einen Orgasmus vorgetäuscht",1
10,"Ich hab noch nie einen multiplen Orgasmus gehabt",1
11,"Ich hab noch nie an einen 3er gedacht",1
12,"Ich hab noch nie mehr als 4 verschiedene Stellungen beim Sex ausprobiert",1
13,"Ich hab noch nie während des Sex gepupst",1
14,"Ich hab noch nie Sex beim Filmschauen gehabt",1
15,"Ich hab noch nie aus Langeweile Sex gehabt",1
16,"Ich hab noch nie beim Sex an einen anderen oder eine andere gedacht",1
17,"Ich hab noch nie Essen wärend dem Sex verwendet",1
18,"Ich hab noch nie Essen für Selbstbefriedigung verwendet",1
19,"Ich hab noch nie Sexspielzeug verwendet",1
20,"Ich hab noch nie jemandem beim Sex gefesselt oder wurde gefesselt",1
21,"Ich hab noch nie jemandem beim Sex zugesehen oder wurde beobachtet",1
22,"Ich hab noch nie jemandem ausversehen beim Sex überrascht",1
23,"Ich hab noch nie beim Sex den falschen Namen gesagt",1
24,"Ich hab noch nie Sex mit 15 gehabt",1
25,"Ich hab noch nie einen Unfall beim Sex gehabt",1
26,"Ich hab noch nie erotische Fotos von mir machen lassen oder selbst gemacht",1
27,"Ich hab noch nie mit meinen Eltern über mein Sexualleben geredet",1
28,"Ich hab noch nie erotische Träume über einen Freund/in gehabt",1
29,"Ich hab noch nie wegen einem Traum einen Orgasmus gehabt",1
30,"Ich hab noch nie gefragt wie sich der Sex wohl für das andere Geschlecht anfühlt",1
31,"Ich hab noch nie Sex mit einem Mitschüler/Arbeitskollegen gehabt",1
32,"Ich hab noch nie so viel getrunken, dass ich wärend dem Sex eingeschlafen bin",1
33,"Ich hab noch nie öfter als 5 mal am Tag sex gehabt",1
34,"Ich hab noch nie ein Angebot für einen 3er bekommen",1
35,"Ich hab noch nie einen Monat lang jeden Tag sex gehabt",1
36,"Ich hab noch nie eine perfekte Woche gehabt",1
37,"Ich hab noch nie draußen Sex gehabt",1
38,"Ich hab noch nie Nacktfotos von mir gemacht",1
39,"Ich hab noch nie an einem Tag mit 2 verschiedenen Leuten Sex gehabt",1
40,"Ich hab noch nie Sex auf einer Öffentlichen Toilette gehabt",1
41,"Ich hab noch nie einen Vibrator gehabt",1
42,"Ich hab noch nie einen Porno gedreht",1
43,"Ich hab noch nie an sex mit einer Frau gedacht",1
44,"Ich hab noch nie bei einer Orgie mitgemacht",1
45,"Ich hab noch nie Sex mit einer Frau gehabt",1
46,"Ich hab noch nie Sex im Flugzeug gehabt",1
47,"Ich hab noch nie in der Küche Sex gehabt",1
48,"Ich hab noch nie Sex im whirlpool gehabt",1
49,"Ich hab noch nie einen Orgasmus in der Öffentlichkeit gehabt",1
50,"Ich hab noch nie Sex im Bahnhofsklo gehabt",1
51,"Ich hab noch nie Sex am Strand gehabt",1
52,"Ich hab mich noch nie selbst befriedigt",1
53,"Ich hab noch nie Sex mit jemand jüngerem gehabt",1
54,"Ich hab noch nie Öffentlich gestrippt",1
55,"Ich hab noch nie Sex im Aufzug gehabt",1
56,"Ich hab noch nie einen Porno geguckt",1
